0
(2.95416,0.0297275)        (3.02256,-0.0097922)
(2.06919,-1.75543)        (2.79278,-0.901318)
(0.658805,-1.89109)        (2.00203,-1.66573)
(-0.343243,-1.75915)        (0.968498,-1.59033)
(-0.701238,-0.839102)        (0.200257,-1.03715)
(-0.240066,-0.0672439)        (-0.0403284,-0.260854)
(0.473685,0.091849)        (0.242578,0.34433)
(0.994442,-0.253863)        (0.713963,0.476431)
(0.958841,-7.93636e-17)        (1.0102,9.80119e-17)
1
(1.82273,-1.34938)        (3.34054,0.299582)
(0.90723,-1.68859)        (2.94029,-1.38617)
(0.330358,-1.32588)        (1.48971,-2.33176)
(0.130119,-1.02241)        (0.0333789,-2.00352)
(-0.161819,-0.686511)        (-0.577266,-0.970088)
(-0.219206,-0.135904)        (-0.204856,-0.114696)
(0.498646,0.238428)        (0.423083,-0.0542979)
(-0.0961905,-0.82404)        (0.884826,-0.242867)
(0.666735,-2.77556e-17)        (1.13682,0)
2
(3.27232,-0.00182954)        (2.89323,0.000733658)
(1.40227,-2.30218)        (2.70221,-1.05657)
(-0.32426,-2.19546)        (1.6466,-1.85899)
(-1.84671,-0.683137)        (0.653194,-1.62143)
(-0.849375,0.557405)        (-0.0276925,-1.02905)
(-0.105461,0.080501)        (-0.163106,-0.220595)
(-0.243412,-0.5663)        (0.282516,0.205713)
(-0.918901,-0.287607)        (0.804612,0.157952)
(0.478075,4.09224e-17)        (1.46942,0)
3
(3.18257,-0.00204687)        (2.91047,0.000315327)
(2.81673,-1.03531)        (2.53121,-1.2146)
(1.27763,-1.63684)        (1.71892,-1.86345)
(-0.746723,-1.3074)        (0.940535,-1.79189)
(-0.91873,-0.226339)        (0.136844,-1.23454)
(-0.280817,0.0537311)        (-0.0671666,-0.276161)
(0.574419,0.0916421)        (0.272157,0.270263)
(0.667356,0.443746)        (0.889475,0.0304133)
(0.997832,0)        (1.0057,0)
4
(2.79541,-0.310126)        (3.07369,0.0992823)
(2.45667,-1.39275)        (2.83258,-0.552583)
(1.62997,-1.69179)        (2.20407,-1.06405)
(0.90107,-1.35351)        (1.33235,-1.22566)
(-0.0765229,-1.04913)        (0.648169,-0.787288)
(0.0555929,-0.463082)        (0.0271821,-0.156491)
(0.358576,0.349308)        (-0.101496,0.397754)
(0.748146,0.574728)        (0.0623292,0.831929)
(1.04836,5.55112e-17)        (1.00055,-5.55112e-17)
5
(1.80197,-1.64402)        (3.33555,0.351197)
(1.02852,-1.53974)        (2.9712,-1.33955)
(0.6384,-1.09368)        (1.60755,-2.28524)
(0.590287,-0.785522)        (0.145304,-2.028)
(0.393524,-0.62802)        (-0.516612,-1.02039)
(0.040279,-0.244015)        (-0.213812,-0.133732)
(0.0525933,0.538513)        (0.434375,0.00732404)
(0.8052,-0.64564)        (0.899217,-0.077741)
(0.599744,0)        (1.15241,-1.11022e-16)
6
(2.82976,-0.00109969)        (3.06414,0.000423686)
(2.5257,-0.692424)        (2.77545,-1.01886)
(2.44981,-0.902975)        (1.76393,-1.61185)
(1.55487,-0.641191)        (0.712269,-1.66496)
(0.665277,-0.47001)        (0.0179239,-1.09196)
(0.298075,-0.128106)        (-0.0873763,-0.188124)
(-0.570699,0.352431)        (0.235114,0.258986)
(-0.919891,0.552524)        (0.750235,0.258329)
(0.285951,1.16593e-17)        (1.36741,0)
7
(3.27813,-0.0409796)        (2.86848,0.0139726)
(2.71607,-0.705337)        (2.85671,-0.295278)
(2.12112,-0.985414)        (2.40649,-0.565668)
(1.61213,-0.580797)        (1.61167,-0.767741)
(1.13574,-0.176937)        (0.748208,-0.643257)
(0.205248,-0.190255)        (0.173851,-0.138862)
(-0.306879,-0.374404)        (-0.225237,0.531391)
(-0.0225422,0.611398)        (-0.594413,0.773632)
(1.05873,1.11022e-16)        (0.979626,1.11022e-16)
8
(2.81663,0.003305)        (3.09356,-0.00101694)
(1.94605,-1.60994)        (2.84378,-0.971401)
(0.749476,-1.77174)        (1.96178,-1.73671)
(-0.496678,-1.82362)        (0.974852,-1.58129)
(-0.57234,-0.665004)        (0.137701,-1.09461)
(-0.236976,-0.0861487)        (-0.0491798,-0.24736)
(0.509131,0.236614)        (0.252909,0.280795)
(1.09549,-0.0378961)        (0.716059,0.335948)
(0.950104,0)        (1.02114,0)
9
(3.06301,-0.0143238)        (2.97264,0.00474764)
(1.98646,-1.76121)        (2.80295,-0.907448)
(0.709783,-1.92059)        (1.97111,-1.68521)
(-0.409194,-1.92898)        (0.946647,-1.55353)
(-0.709877,-0.929148)        (0.173588,-1.00533)
(-0.110492,-0.12313)        (-0.0972474,-0.252008)
(0.527096,0.132705)        (0.239074,0.318678)
(1.0635,-0.213362)        (0.713054,0.422465)
(1.06179,0)        (0.97212,0)
10
(3.25884,0.0115297)        (2.89867,-0.00358123)
(2.35536,-1.09119)        (2.68428,-1.13996)
(0.758703,-2.09287)        (1.94,-1.66037)
(0.0702311,-1.5366)        (0.76083,-1.71339)
(-0.624942,-0.919416)        (0.11322,-1.01371)
(-0.248479,-0.30447)        (-0.0674857,-0.173381)
(0.52076,0.015896)        (0.248388,0.340788)
(0.716846,-0.114535)        (0.851156,0.350519)
(0.839058,-4.23516e-22)        (1.06553,4.23516e-22)
11
(3.16416,0.0123023)        (2.93784,-0.00390541)
(2.22527,-1.28159)        (2.71897,-1.13538)
(1.29021,-1.90345)        (1.7072,-1.77822)
(-0.0796594,-1.84909)        (0.722272,-1.62718)
(-0.409771,-0.67416)        (-0.0107217,-1.0929)
(-0.149342,-0.48658)        (-0.119283,-0.104827)
(0.500134,0.00808853)        (0.278574,0.309357)
(0.843917,0.0245207)        (0.827288,0.196728)
(0.972148,0)        (1.01198,-2.64698e-23)
12
(3.03977,-0.0437982)        (2.98909,0.0148056)
(2.18778,-1.29364)        (2.69755,-1.20783)
(1.15056,-2.18055)        (1.66436,-1.78047)
(-0.269659,-1.44762)        (0.650402,-1.81406)
(-0.302547,-1.08948)        (-0.160364,-0.946944)
(-0.391888,-0.189625)        (-0.0590148,-0.191655)
(0.344183,-0.077544)        (0.389309,0.282368)
(0.879246,0.0724879)        (0.834012,0.0248275)
(1.09711,8.67362e-19)        (0.963976,0)
0
(3.02848,-0.0443939)        (2.99448,0.0148964)
(2.47249,0.348808)        (2.96706,-0.158275)
(2.40775,0.570549)        (2.41767,-0.25907)
(1.36097,0.800647)        (1.87983,-0.353557)
(0.775013,0.160062)        (1.07142,-0.114692)
(0.0883538,-0.0423377)        (0.287268,-0.0159918)
(-0.308253,-0.371122)        (-0.42543,0.160484)
(-0.599578,-0.512399)        (-0.89467,0.277767)
(1.0403,0)        (0.989216,-1.38778e-17)
